"","category","word","mean_rating"
"1","deadline","accomplish",8.77777777777778
"2","deadline","achiev",6.72727272727273
"3","deadline","act upon",6.71428571428571
"4","deadline","action",7.6
"5","deadline","adher",6.5
"6","deadline","administr",6.33333333333333
"7","deadline","advanc",5.38888888888889
"8","deadline","ahead",5.66666666666667
"9","deadline","aim",6.19512195121951
"10","deadline","alarm",5.33333333333333
"11","deadline","all over",6.22222222222222
"12","deadline","annoy",5.71428571428571
"13","deadline","anxieti",7.82352941176471
"14","deadline","anxious",8.31578947368421
"15","deadline","appoint",6.1
"16","deadline","approach",7.625
"17","deadline","approv",5.81818181818182
"18","deadline","arrang",7.66666666666667
"19","deadline","arrant",5.33333333333333
"20","deadline","articl",7.77777777777778
"21","deadline","assign",7.35135135135135
"22","deadline","attempt",5.14285714285714
"23","deadline","attent",6.18181818181818
"24","deadline","auditor",6
"25","deadline","backbreak",7.66666666666667
"26","deadline","befor",7.1
"27","deadline","bill",6.28571428571429
"28","deadline","blackmail",5.26666666666667
"29","deadline","boss",7.3125
"30","deadline","boundari",8.1
"31","deadline","busi",8.84615384615385
"32","deadline","calendar",8.90476190476191
"33","deadline","ceas",5.85714285714286
"34","deadline","chore",5.5
"35","deadline","clock",7.90909090909091
"36","deadline","clock time",8.5
"37","deadline","close",8.64705882352941
"38","deadline","colleg",6.25
"39","deadline","come",5.0625
"40","deadline","commiss",5.11111111111111
"41","deadline","commit",7.47826086956522
"42","deadline","compani",5.875
"43","deadline","complet",8.51282051282051
"44","deadline","concentr",7.5
"45","deadline","concern",6.57142857142857
"46","deadline","conclud",7.19047619047619
"47","deadline","conclus",8.33333333333333
"48","deadline","confer",5.35
"49","deadline","date",8.26666666666667
"50","deadline","date stamp",7.27272727272727
"51","deadline","daunt",6.75
"52","deadline","day of the month",7.71428571428571
"53","deadline","decis",8.66666666666667
"54","deadline","defer",6.1
"55","deadline","demand",8.53333333333333
"56","deadline","demarc",5.14285714285714
"57","deadline","determin",5.25
"58","deadline","dictat",6
"59","deadline","difficult",5.3
"60","deadline","dismay",5.4
"61","deadline","disorganis",5.1
"62","deadline","dissert",7.05263157894737
"63","deadline","do work",9.5
"64","deadline","document",7.47368421052632
"65","deadline","done",7.63636363636364
"66","deadline","driven",5.71428571428571
"67","deadline","due",9
"68","deadline","due date",10
"69","deadline","duti",6.94117647058824
"70","deadline","duti assign",5.6
"71","deadline","eager",5.81818181818182
"72","deadline","earli",6.125
"73","deadline","earliest",6.8
"74","deadline","effect",6.90909090909091
"75","deadline","effici",5.66666666666667
"76","deadline","effort",6.4375
"77","deadline","employ",7.11111111111111
"78","deadline","employe",6.75
"79","deadline","end",8.69444444444444
"80","deadline","end goal",9.57142857142857
"81","deadline","end is in sight",8.28571428571429
"82","deadline","enforc",7.94117647058824
"83","deadline","essay",7.47368421052632
"84","deadline","estim",6.25
"85","deadline","even",5.44444444444444
"86","deadline","exact",6.28571428571429
"87","deadline","exasper",5.28571428571429
"88","deadline","expect",8.18181818181818
"89","deadline","extend",7.36666666666667
"90","deadline","extens",8.09523809523809
"91","deadline","fatigu",5.71428571428571
"92","deadline","figur out",5.66666666666667
"93","deadline","final",7.83870967741935
"94","deadline","final exam",9
"95","deadline","final examin",8.5
"96","deadline","final stage",8.25
"97","deadline","fini",9.2
"98","deadline","finish",8.86046511627907
"99","deadline","finish up",8.6
"100","deadline","first",5.54545454545455
"101","deadline","first-come-first-serv",5.71428571428571
"102","deadline","focus",7.59259259259259
"103","deadline","focuss",6.66666666666667
"104","deadline","forc",6.88888888888889
"105","deadline","form",7.9
"106","deadline","formul",6
"107","deadline","forthcom",8
"108","deadline","forward-mov",6.1
"109","deadline","frustrat",5.52173913043478
"110","deadline","full",5.375
"111","deadline","goal",8.5
"112","deadline","grant",5.63636363636364
"113","deadline","gruel",5.77777777777778
"114","deadline","gruell",5.71428571428571
"115","deadline","guarante",5.63636363636364
"116","deadline","hard",5.25
"117","deadline","harder",5.75
"118","deadline","harri",6.90909090909091
"119","deadline","hast",7.85714285714286
"120","deadline","hasten",7.16666666666667
"121","deadline","hire",5.33333333333333
"122","deadline","homework",9
"123","deadline","hurri",9.3
"124","deadline","immin",8.8
"125","deadline","impati",6.44444444444444
"126","deadline","impend",7.5
"127","deadline","imper",6
"128","deadline","import",9.4
"129","deadline","impos",6.1
"130","deadline","increment",5.54545454545455
"131","deadline","inflex",5.625
"132","deadline","initi",5.5
"133","deadline","insist",6.26666666666667
"134","deadline","job",7.90476190476191
"135","deadline","journal",5.66666666666667
"136","deadline","labori",5.5
"137","deadline","labour",5.5
"138","deadline","last",7
"139","deadline","later",5.11111111111111
"140","deadline","launch",6.55555555555556
"141","deadline","lengthi",6.28571428571429
"142","deadline","life-tim",5.11111111111111
"143","deadline","limit",7.76923076923077
"144","deadline","limit point",7.63636363636364
"145","deadline","line of work",5.71428571428571
"146","deadline","loom",8.37037037037037
"147","deadline","make",8
"148","deadline","make for",5.44444444444444
"149","deadline","manag",7.34545454545455
"150","deadline","mark",5.25
"151","deadline","matur date",8.14285714285714
"152","deadline","meet",7.61904761904762
"153","deadline","mid",5.33333333333333
"154","deadline","militari mission",7.25
"155","deadline","minut",6.1
"156","deadline","miss",7.13636363636364
"157","deadline","mission",6.81818181818182
