;category;word;orig_eng_rating
1;deadline;vollendet;8.1
2;deadline;getan;8.78
3;deadline;erldigt;8.78
4;deadline;aktion;7.6
5;deadline;handlung;7.6
6;deadline;tatig;7.6
7;deadline;abziel;7.11
8;deadline;ängste;8
9;deadline;ängstlichkeit;7.85
10;deadline;angst;8.515
11;deadline;verangstlicht;7.4
12;deadline;unruhig;9.33
13;deadline;ansatz;7.07
14;deadline;herangehensweis;7.07
15;deadline;annah;9.33
16;deadline;abmachung, verabred;7.67
17;deadline;artikel;7.78
18;deadline;zuordn;7.22
19;deadline;aufgab;8.46
20;deadline;ruckenbrech;7.67
21;deadline;vor;7.1
22;deadline;chef;8
23;deadline;boss;8
24;deadline;grenz;8.62
25;deadline;geschaft;8.85
26;deadline;unternehm;7.69
27;deadline;angeleg;8.85
28;deadline;kalend;8.935
29;deadline;uhr;7.91
30;deadline;uhrzeit;8.5
31;deadline;nah;8
32;deadline;schliess;9.1
33;deadline;komm;7.71
34;deadline;engagement;7.6
35;deadline;zugewandt;7.6
36;deadline;engagiert;7.38
37;deadline;zugewandt;7.38
38;deadline;komplett;9.25
39;deadline;erledigt;7.42
40;deadline;abschliess;8.5
41;deadline;fertigstell;9.75
42;deadline;konzentriert;8.63
43;deadline;konzentri;8.38
44;deadline;fazit;8.33
45;deadline;konferenz;7.56
46;deadline;datum;8.09
47;deadline;datumsstempel;7.27
48;deadline;datiert;7.8
49;deadline;termin;9
50;deadline;tag des monat;7.71
51;deadline;entscheidung;8.67
52;deadline;beschluss;8.67
53;deadline;anforder;8.48
54;deadline;forder;8.48
55;deadline;dissertation;8.44
56;deadline;masterarbeit;8.44
57;deadline;abschlussarbeit;8.44
58;deadline;arbeit;8.41
59;deadline;unterlag;8.2
60;deadline;fertig;8.42
61;deadline;wahrend;9
62;deadline;fallig;9
63;deadline;geburtstermin;10
64;deadline;deadlin;10
65;deadline;pflicht;7.75
66;deadline;anstrengung;8.43
67;deadline;anstellung;7.11
68;deadline;ende;9.315
69;deadline;endziel;9.57
70;deadline;ende ist in sicht;8.29
71;deadline;beendet;7.64
72;deadline;endet;8.695
73;deadline;enden;8.89
74;deadline;erzwing;8.38
75;deadline;durchsetz;8.38
76;deadline;durchgesetzt;7.56
77;deadline;erzwung;7.56
78;deadline;aufsatz;7.53
79;deadline;essay;7.18
80;deadline;essays;7.88
81;deadline;genau;7.56
82;deadline;exakt;7.56
83;deadline;erwartung;8.18
84;deadline;verlang;9.71
85;deadline;verlanger;8.065
86;deadline;erweiter;8.065
87;deadline;final;8.0025
88;deadline;letzt;7.555
89;deadline;abschlusspruf;8.65
90;deadline;letzt stuf;8.25
91;deadline;abschlussklausur;8.45
92;deadline;fertig;8.55
93;deadline;ziel;8.13
94;deadline;zu ende bring;8.6
95;deadline;fertig bearbeitet;8.93
96;deadline;fokussiert;9.11
97;deadline;fokussier;7.11
98;deadline;bild;7.9
99;deadline;form;7.9
100;deadline;formi;7.9
101;deadline;bevorsteh;8.31333333333333
102;deadline;kommend;8.72
103;deadline;eil;8.32
104;deadline;eil;7.975
105;deadline;beeil;7.17
106;deadline;hausaufgab;9
107;deadline;sich beeil;9.3
108;deadline;unmittelbar bevorsteh;8.8
109;deadline;wichtig;9.4
110;deadline;beharr;7.38
111;deadline;insisti;7.38
112;deadline;arbeitsplatz;9.095
113;deadline;job;8.75
114;deadline;spat;7.355
115;deadline;limit;8.46666666666667
116;deadline;grenzpunkt;7.64
117;deadline;begrenz;7.33
118;deadline;limiti;7.33
119;deadline;ragt auf;7.11
120;deadline;aufrag;7.805
121;deadline;drohend;9.4
122;deadline;mach;8
123;deadline;verwalt;7.4
124;deadline;manag;7.4
125;deadline;verwalt;8.44
126;deadline;management;8.44
127;deadline;manag;7.855
128;deadline;falligkeitstag;8.14
129;deadline;falligkeitsdatum;8.14
130;deadline;treff;8.17
131;deadline;meeting;8.17
132;deadline;militar mission;7.25
133;deadline;verpasst;7.25
134;deadline;vermisst;7
135;deadline;mission;8.18
136;deadline;motiviert;7.78
137;deadline;muss;7.57
138;deadline;kurz vor;9.08
139;deadline;nahend;9.08
140;deadline;nerv;7
141;deadline;nervos;8.13
142;deadline;zeitung;8.195
143;deadline;zeitungsverleg;8.55
144;deadline;herausgeb;8.55
145;deadline;zielsetz;7.2
146;deadline;verpflicht;8.43
147;deadline;obligation;8.43
148;deadline;uber;7.89
149;deadline;uberfall;7.44
150;deadline;papi;7.53
151;deadline;bestimmt datum;9.91
152;deadline;zahlung;8.3
153;deadline;arbeit;8.665
154;deadline;plan;7.14
155;deadline;plan;8.205
156;deadline;planung;7.75
157;deadline;vorbereit;7.61
158;deadline;vorbereit;8.675
159;deadline;bereitschaft;8.11
160;deadline;druck;7.8
161;deadline;dringend;7.8
162;deadline;druck;8.48333333333333
163;deadline;druckniveau;9.38
164;deadline;druckgefuhl;7.6
165;deadline;aufschub;8.67
