;category;word;orig_eng_rating
1;deadline;volbracht;8.77777777777778
2;deadline;acties;7.6
3;deadline;mik;7.11111111111111
4;deadline;angst;8.66666666666666
5;deadline;spanning;7.7
6;deadline;gespann;7.4
7;deadline;nader;8.49444444444444
8;deadline;benader;7.06666666666667
9;deadline;regel;7.83333333333333
10;deadline;artikel;7.77777777777778
11;deadline;toewijz;7.22222222222222
12;deadline;opdracht;8.3
13;deadline;slopend;7.66666666666667
14;deadline;voordat;7.1
15;deadline;bas;8
16;deadline;gren;8.1
17;deadline;bedrijf;8.84615384615385
18;deadline;kalender;8.93636363636363
19;deadline;klok;7.90909090909091
20;deadline;kloktijd;8.5
21;deadline;dichtbij;8
22;deadline;sluitend;9.1
23;deadline;komt eran;7.71428571428571
24;deadline;eran kom;7.71428571428571
25;deadline;inzet;7.6
26;deadline;toewijd;7.6
27;deadline;betrok;7.38461538461539
28;deadline;toegewijd;7.38461538461539
29;deadline;complet;9.25
30;deadline;voltooid;7.41666666666667
31;deadline;voltooi;9.01136363636363
32;deadline;afhandel;9.75
33;deadline;geconcentreerd;8.625
34;deadline;concentrer;8.375
35;deadline;concluder;7.83333333333333
36;deadline;conclusie;8.33333333333333
37;deadline;conferenties;7.55555555555556
38;deadline;datum;8.54545454545454
39;deadline;datumstempel;7.27272727272727
40;deadline;gedateerd;7.8
41;deadline;dag van de maand;7.71428571428571
42;deadline;besliss;8.66666666666667
43;deadline;vrag nar;7.71428571428571
44;deadline;eis;8.48214285714285
45;deadline;proefschrift;8.44444444444444
46;deadline;werk;8.61363636363637
47;deadline;document;8.2
48;deadline;gedan;7.63636363636364
49;deadline;verschuldigd;9
50;deadline;opleveringsdatum;10
51;deadline;plicht;7.75
52;deadline;poging;8.42857142857143
53;deadline;werkgeleg;7.11111111111111
54;deadline;eind;9.3125
55;deadline;einddoel;9.57142857142857
56;deadline;het eind is in zicht;8.28571428571429
57;deadline;geeindigd;7.63636363636364
58;deadline;loopt af;8.88888888888889
59;deadline;afdwing;8.375
60;deadline;afgedwong;7.55555555555556
61;deadline;essay;7.52840909090909
62;deadline;precies;7.55555555555556
63;deadline;verwacht;8.18181818181818
64;deadline;verleng;9.22077922077922
65;deadline;uitbreid;7.4
66;deadline;laatst;7.55555555555556
67;deadline;uiteind;8.11111111111111
68;deadline;eindexam;8.75
69;deadline;laatst stadium;8.25
70;deadline;eindstadium;8.25
71;deadline;final;7
72;deadline;finales;8.45454545454546
73;deadline;klar;9.2
74;deadline;finish;8.54545454545454
75;deadline;afmak;8.6
76;deadline;afgewerkt;8.92857142857143
77;deadline;afgemaakt;8.92857142857143
78;deadline;afwerk;8.95
79;deadline;gefocust;9.11111111111111
80;deadline;scherpstell;7.11111111111111
81;deadline;formulier;7.9
82;deadline;komend;8
83;deadline;doel;8.25545634920635
84;deadline;haast;8.50873015873016
85;deadline;haast je;7.16666666666667
86;deadline;verhaast;7.16666666666667
87;deadline;huiswerk;9
88;deadline;dreigend;8.36666666666667
89;deadline;belangrijk;9.4
90;deadline;aandring;7.375
91;deadline;erop stan;7.375
92;deadline;ban;8.75
93;deadline;lat;7.35416666666667
94;deadline;begrenz;9.2
95;deadline;limiet;8.87777777777778
96;deadline;limiet punt;7.63636363636364
97;deadline;beperk;7.33333333333333
98;deadline;grenz;8.55555555555556
99;deadline;doemd op;7.11111111111111
100;deadline;opdoem;9.4
101;deadline;doemt op;8.5
102;deadline;mak;8
103;deadline;beher;7.92222222222222
